#american cities
#name|pos.x|pos.y|reach|pop100k|col.r|col.g|col.b
Rocky Mount|821|309|2|3|0|0|0
Lynchburg, VA|807|294|2|3|0|0|0
Monroe, LA|677|343|2|3|0|0|0
Rochester, MN|674|228|2|3|0|0|0
Harrisonburg|810|284|2|3|0|0|0
Binghamton|839|247|2|3|0|0|0
Lafayette, LA|678|366|2|3|0|0|0
College Station|635|362|2|3|0|0|0
Tuscaloosa|723|336|2|3|0|0|0
Charlottesville|814|288|2|2|0|0|0
Chico|380|271|2|2|0|0|0
Lima|757|261|2|2|0|0|0
Bowling Green, KY|734|299|2|2|0|0|0
Prescott|474|323|2|2|0|0|0
Claremont, NH|875|235|2|2|0|0|0
Mansfield, OH|773|261|2|2|0|0|0
Johnstown, PA|809|265|2|2|0|0|0
Houma-Thibodaux|691|371|2|2|0|0|0
Bloomington, IN|733|277|2|2|0|0|0
Eau Claire|735|249|2|2|0|0|0
Bellingham|374|181|2|2|0|0|0
Joplin|653|298|2|2|0|0|0
Florence, SC|801|326|2|2|0|0|0
Lake Charles|666|366|2|2|0|0|0
Yuma|452|341|2|2|0|0|0
Hilton Head Island|791|346|2|2|0|0|0
New Bern|828|317|2|2|0|0|0
Hilo|48|471|2|2|0|0|0
Morgantown|799|272|2|2|0|0|0
Bend|385|228|2|2|0|0|0
Elmira|830|247|2|2|0|0|0
Blacksburg|794|296|2|2|0|0|0
El Centro|443|340|2|2|0|0|0
Terre Haute|724|274|2|2|0|0|0
Jonesboro|691|310|2|2|0|0|0
Waterloo, IA|675|243|2|2|0|0|0
Kahului|34|459|2|2|0|0|0
Williamsport|828|256|2|2|0|0|0
Albany, GA|757|353|2|2|0|0|0
Ithaca|833|244|2|2|0|0|0
Parkersburg, WV|783|276|2|2|0|0|0
Wichita Falls, TX|614|329|2|2|0|0|0
Shoals|722|321|2|2|0|0|0
Traverse City|742|221|2|2|0|0|0
Pottsville|836|262|2|2|0|0|0
Wheeling|791|268|2|2|0|0|0
Homosassa Springs|773|380|1|1|0|0|0
La Crosse|686|230|1|1|0|0|0
Paducah|712|298|1|1|0|0|0
Eureka, KS|636|290|1|1|0|0|0
Manhattan, KS|633|277|1|1|0|0|0
Jamestown, NY|806|247|1|1|0|0|0
Logan|480|251|1|1|0|0|0
Lawton|614|322|1|1|0|0|0
Findlay-Tiffin|764|258|1|1|0|0|0
Hot Springs|668|323|1|1|0|0|0
Jackson, TN|710|312|1|1|0|0|0
Pittsfield, MA|866|244|1|1|0|0|0
Edwards, CO|533|272|1|1|0|0|0
Sierra Vista|496|353|1|1|0|0|0
London, KY|758|297|1|1|0|0|0
Carbondale|706|291|1|1|0|0|0
Altoona, PA|815|263|1|1|0|0|0
Goldsboro|819|315|1|1|0|0|0
Mankato|658|227|1|1|0|0|0
Beckley|787|291|1|1|0|0|0
Rome, GA|747|326|1|1|0|0|0
Victoria, TX|628|380|1|1|0|0|0
Waterown, NY|839|229|1|1|0|0|0
Kokomo|737|264|1|1|0|0|0
Owensboro|727|291|1|1|0|0|0
Quincy|684|269|1|1|0|0|0
Wooster, OH|779|260|1|1|0|0|0
Sheboygan|721|231|1|1|0|0|0
Brunswick, GA|784|357|1|1|0|0|0
Wenatchee|395|194|1|1|0|0|0
Moses Lake|406|197|1|1|0|0|0
Mount Pleasant, MI|751|232|1|1|0|0|0
Odgensburg|844|221|1|1|0|0|0
Decatur, IL|709|270|1|1|0|0|0
Show Low|498|326|1|1|0|0|0
Sumter|795|329|1|1|0|0|0
Cookeville|743|307|1|1|0|0|0
Roseburg|365|236|1|1|0|0|0
Meridian, MS|711|345|1|1|0|0|0
Bluefield|786|296|1|1|0|0|0
Danville, VA|805|303|1|1|0|0|0
Grand Forks|628|189|1|1|0|0|0
Fond Du Lac|714|231|1|1|0|0|0
Tullahoma|736|315|1|1|0|0|0
Cumberland, MD|811|272|1|1|0|0|0
Sebring, FL|784|393|1|1|0|0|0
Dubuque|692|243|1|1|0|0|0
Kalispell|455|186|1|1|0|0|0
Clarksburg, WV|795|276|1|1|0|0|0
Pinehurst|804|316|1|1|0|0|0
Brainerd|656|205|1|1|0|0|0
Red Deer|460|146|1|1|0|0|0
Nanaimo, BC|359|177|1|1|0|0|0
Kamloops|395|162|1|1|0|0|0
Trois-Rivieres|873|205|1|1|0|0|0
Guelph|796|233|1|1|0|0|0
Belleville|825|227|1|1|0|0|0
Chatham-Kent|777|244|1|1|0|0|0
Fredericton|932|209|1|1|0|0|0
Chilliwack|379|177|1|1|0|0|0
Sarnia|774|239|1|1|0|0|0
Drummondville|874|210|1|1|0|0|0
Saul Ste. Marie|755|203|1|1|0|0|0
Medicine Hat|492|168|1|1|0|0|0
Moncton|951|208|1|1|0|0|0
Brantford|796|237|1|1|0|0|0
